bench,onnx,vnnlib,result
cifar2020,onnx/cifar10_2_255_simplified.onnx,vnnlib/cifar10_spec_idx_14_eps_0.00784_n1.vnnlib,unsat
cifar2020,onnx/cifar10_2_255_simplified.onnx,vnnlib/cifar10_spec_idx_15_eps_0.00784_n1.vnnlib,unsat
cifar2020,onnx/cifar10_2_255_simplified.onnx,vnnlib/cifar10_spec_idx_16_eps_0.00784_n1.vnnlib,unsat
cifar2020,onnx/cifar10_2_255_simplified.onnx,vnnlib/cifar10_spec_idx_17_eps_0.00784_n1.vnnlib,unsat
cifar2020,onnx/cifar10_2_255_simplified.onnx,vnnlib/cifar10_spec_idx_18_eps_0.00784_n1.vnnlib,unsat
cifar2020,onnx/cifar10_2_255_simplified.onnx,vnnlib/cifar10_spec_idx_19_eps_0.00784_n1.vnnlib,unsat
cifar2020,onnx/cifar10_2_255_simplified.onnx,vnnlib/cifar10_spec_idx_20_eps_0.00784_n1.vnnlib,unsat
cifar2020,onnx/cifar10_2_255_simplified.onnx,vnnlib/cifar10_spec_idx_21_eps_0.00784_n1.vnnlib,unsat
cifar2020,onnx/cifar10_2_255_simplified.onnx,vnnlib/cifar10_spec_idx_23_eps_0.00784_n1.vnnlib,unsat
cifar2020,onnx/cifar10_2_255_simplified.onnx,vnnlib/cifar10_spec_idx_25_eps_0.00784_n1.vnnlib,unsat
cifar2020,onnx/cifar10_2_255_simplified.onnx,vnnlib/cifar10_spec_idx_26_eps_0.00784_n1.vnnlib,sat
cifar2020,onnx/cifar10_2_255_simplified.onnx,vnnlib/cifar10_spec_idx_28_eps_0.00784_n1.vnnlib,sat
cifar2020,onnx/cifar10_2_255_simplified.onnx,vnnlib/cifar10_spec_idx_29_eps_0.00784_n1.vnnlib,unsat
cifar2020,onnx/cifar10_2_255_simplified.onnx,vnnlib/cifar10_spec_idx_30_eps_0.00784_n1.vnnlib,unsat
cifar2020,onnx/cifar10_2_255_simplified.onnx,vnnlib/cifar10_spec_idx_31_eps_0.00784_n1.vnnlib,sat
cifar2020,onnx/cifar10_2_255_simplified.onnx,vnnlib/cifar10_spec_idx_32_eps_0.00784_n1.vnnlib,sat
cifar2020,onnx/cifar10_2_255_simplified.onnx,vnnlib/cifar10_spec_idx_34_eps_0.00784_n1.vnnlib,unsat
cifar2020,onnx/cifar10_2_255_simplified.onnx,vnnlib/cifar10_spec_idx_36_eps_0.00784_n1.vnnlib,sat
cifar2020,onnx/cifar10_2_255_simplified.onnx,vnnlib/cifar10_spec_idx_37_eps_0.00784_n1.vnnlib,sat
cifar2020,onnx/cifar10_2_255_simplified.onnx,vnnlib/cifar10_spec_idx_38_eps_0.00784_n1.vnnlib,unsat
cifar2020,onnx/cifar10_2_255_simplified.onnx,vnnlib/cifar10_spec_idx_39_eps_0.00784_n1.vnnlib,unsat
cifar2020,onnx/cifar10_2_255_simplified.onnx,vnnlib/cifar10_spec_idx_40_eps_0.00784_n1.vnnlib,unsat
cifar2020,onnx/cifar10_2_255_simplified.onnx,vnnlib/cifar10_spec_idx_41_eps_0.00784_n1.vnnlib,unsat
cifar2020,onnx/cifar10_2_255_simplified.onnx,vnnlib/cifar10_spec_idx_42_eps_0.00784_n1.vnnlib,unsat
cifar2020,onnx/cifar10_2_255_simplified.onnx,vnnlib/cifar10_spec_idx_43_eps_0.00784_n1.vnnlib,unsat
cifar2020,onnx/cifar10_2_255_simplified.onnx,vnnlib/cifar10_spec_idx_44_eps_0.00784_n1.vnnlib,unsat
cifar2020,onnx/cifar10_2_255_simplified.onnx,vnnlib/cifar10_spec_idx_45_eps_0.00784_n1.vnnlib,unsat
cifar2020,onnx/cifar10_2_255_simplified.onnx,vnnlib/cifar10_spec_idx_46_eps_0.00784_n1.vnnlib,unsat
cifar2020,onnx/cifar10_2_255_simplified.onnx,vnnlib/cifar10_spec_idx_48_eps_0.00784_n1.vnnlib,unsat
cifar2020,onnx/cifar10_2_255_simplified.onnx,vnnlib/cifar10_spec_idx_50_eps_0.00784_n1.vnnlib,unsat
cifar2020,onnx/cifar10_2_255_simplified.onnx,vnnlib/cifar10_spec_idx_51_eps_0.00784_n1.vnnlib,unsat
cifar2020,onnx/cifar10_2_255_simplified.onnx,vnnlib/cifar10_spec_idx_54_eps_0.00784_n1.vnnlib,unsat
cifar2020,onnx/cifar10_2_255_simplified.onnx,vnnlib/cifar10_spec_idx_55_eps_0.00784_n1.vnnlib,unsat
cifar2020,onnx/cifar10_2_255_simplified.onnx,vnnlib/cifar10_spec_idx_60_eps_0.00784_n1.vnnlib,unsat
cifar2020,onnx/cifar10_8_255_simplified.onnx,vnnlib/cifar10_spec_idx_1_eps_0.03137_n1.vnnlib,unsat
cifar2020,onnx/cifar10_8_255_simplified.onnx,vnnlib/cifar10_spec_idx_2_eps_0.03137_n1.vnnlib,unsat
cifar2020,onnx/cifar10_8_255_simplified.onnx,vnnlib/cifar10_spec_idx_4_eps_0.03137_n1.vnnlib,sat
cifar2020,onnx/cifar10_8_255_simplified.onnx,vnnlib/cifar10_spec_idx_5_eps_0.03137_n1.vnnlib,unsat
cifar2020,onnx/cifar10_8_255_simplified.onnx,vnnlib/cifar10_spec_idx_9_eps_0.03137_n1.vnnlib,sat
cifar2020,onnx/cifar10_8_255_simplified.onnx,vnnlib/cifar10_spec_idx_11_eps_0.03137_n1.vnnlib,unsat
cifar2020,onnx/cifar10_8_255_simplified.onnx,vnnlib/cifar10_spec_idx_13_eps_0.03137_n1.vnnlib,unsat
cifar2020,onnx/cifar10_8_255_simplified.onnx,vnnlib/cifar10_spec_idx_14_eps_0.03137_n1.vnnlib,unsat
cifar2020,onnx/cifar10_8_255_simplified.onnx,vnnlib/cifar10_spec_idx_15_eps_0.03137_n1.vnnlib,unsat
cifar2020,onnx/cifar10_8_255_simplified.onnx,vnnlib/cifar10_spec_idx_16_eps_0.03137_n1.vnnlib,unsat
cifar2020,onnx/cifar10_8_255_simplified.onnx,vnnlib/cifar10_spec_idx_18_eps_0.03137_n1.vnnlib,unsat
cifar2020,onnx/cifar10_8_255_simplified.onnx,vnnlib/cifar10_spec_idx_19_eps_0.03137_n1.vnnlib,sat
cifar2020,onnx/cifar10_8_255_simplified.onnx,vnnlib/cifar10_spec_idx_21_eps_0.03137_n1.vnnlib,unsat
cifar2020,onnx/cifar10_8_255_simplified.onnx,vnnlib/cifar10_spec_idx_23_eps_0.03137_n1.vnnlib,sat
cifar2020,onnx/cifar10_8_255_simplified.onnx,vnnlib/cifar10_spec_idx_29_eps_0.03137_n1.vnnlib,unsat
cifar2020,onnx/cifar10_8_255_simplified.onnx,vnnlib/cifar10_spec_idx_30_eps_0.03137_n1.vnnlib,sat
cifar2020,onnx/cifar10_8_255_simplified.onnx,vnnlib/cifar10_spec_idx_32_eps_0.03137_n1.vnnlib,sat
cifar2020,onnx/cifar10_8_255_simplified.onnx,vnnlib/cifar10_spec_idx_33_eps_0.03137_n1.vnnlib,sat
cifar2020,onnx/cifar10_8_255_simplified.onnx,vnnlib/cifar10_spec_idx_34_eps_0.03137_n1.vnnlib,unsat
cifar2020,onnx/cifar10_8_255_simplified.onnx,vnnlib/cifar10_spec_idx_38_eps_0.03137_n1.vnnlib,sat
cifar2020,onnx/cifar10_8_255_simplified.onnx,vnnlib/cifar10_spec_idx_39_eps_0.03137_n1.vnnlib,sat
cifar2020,onnx/cifar10_8_255_simplified.onnx,vnnlib/cifar10_spec_idx_41_eps_0.03137_n1.vnnlib,unsat
cifar2020,onnx/cifar10_8_255_simplified.onnx,vnnlib/cifar10_spec_idx_44_eps_0.03137_n1.vnnlib,sat
cifar2020,onnx/cifar10_8_255_simplified.onnx,vnnlib/cifar10_spec_idx_45_eps_0.03137_n1.vnnlib,unsat
cifar2020,onnx/cifar10_8_255_simplified.onnx,vnnlib/cifar10_spec_idx_49_eps_0.03137_n1.vnnlib,unsat
cifar2020,onnx/cifar10_8_255_simplified.onnx,vnnlib/cifar10_spec_idx_50_eps_0.03137_n1.vnnlib,unsat
cifar2020,onnx/cifar10_8_255_simplified.onnx,vnnlib/cifar10_spec_idx_51_eps_0.03137_n1.vnnlib,unsat
cifar2020,onnx/cifar10_8_255_simplified.onnx,vnnlib/cifar10_spec_idx_54_eps_0.03137_n1.vnnlib,unsat
cifar2020,onnx/cifar10_8_255_simplified.onnx,vnnlib/cifar10_spec_idx_55_eps_0.03137_n1.vnnlib,unsat
cifar2020,onnx/cifar10_8_255_simplified.onnx,vnnlib/cifar10_spec_idx_60_eps_0.03137_n1.vnnlib,sat
cifar2020,onnx/cifar10_8_255_simplified.onnx,vnnlib/cifar10_spec_idx_66_eps_0.03137_n1.vnnlib,unsat
cifar2020,onnx/cifar10_8_255_simplified.onnx,vnnlib/cifar10_spec_idx_67_eps_0.03137_n1.vnnlib,sat
cifar2020,onnx/cifar10_8_255_simplified.onnx,vnnlib/cifar10_spec_idx_71_eps_0.03137_n1.vnnlib,unsat
cifar2020,onnx/cifar10_8_255_simplified.onnx,vnnlib/cifar10_spec_idx_72_eps_0.03137_n1.vnnlib,unsat
cifar2020,onnx/cifar10_8_255_simplified.onnx,vnnlib/cifar10_spec_idx_73_eps_0.03137_n1.vnnlib,unsat
cifar2020,onnx/cifar10_8_255_simplified.onnx,vnnlib/cifar10_spec_idx_74_eps_0.03137_n1.vnnlib,sat
cifar2020,onnx/cifar10_8_255_simplified.onnx,vnnlib/cifar10_spec_idx_76_eps_0.03137_n1.vnnlib,unsat
cifar2020,onnx/cifar10_8_255_simplified.onnx,vnnlib/cifar10_spec_idx_79_eps_0.03137_n1.vnnlib,sat
cifar2020,onnx/cifar10_8_255_simplified.onnx,vnnlib/cifar10_spec_idx_80_eps_0.03137_n1.vnnlib,unsat
cifar2020,onnx/cifar10_8_255_simplified.onnx,vnnlib/cifar10_spec_idx_81_eps_0.03137_n1.vnnlib,unsat
cifar2020,onnx/cifar10_8_255_simplified.onnx,vnnlib/cifar10_spec_idx_82_eps_0.03137_n1.vnnlib,unsat
cifar2020,onnx/cifar10_8_255_simplified.onnx,vnnlib/cifar10_spec_idx_83_eps_0.03137_n1.vnnlib,sat
cifar2020,onnx/cifar10_8_255_simplified.onnx,vnnlib/cifar10_spec_idx_86_eps_0.03137_n1.vnnlib,sat
cifar2020,onnx/cifar10_8_255_simplified.onnx,vnnlib/cifar10_spec_idx_88_eps_0.03137_n1.vnnlib,unsat
cifar2020,onnx/cifar10_8_255_simplified.onnx,vnnlib/cifar10_spec_idx_89_eps_0.03137_n1.vnnlib,sat
cifar2020,onnx/cifar10_8_255_simplified.onnx,vnnlib/cifar10_spec_idx_90_eps_0.03137_n1.vnnlib,sat
cifar2020,onnx/convBigRELU__PGD.onnx,vnnlib/cifar10_spec_idx_1_eps_0.00784.vnnlib,unsat
cifar2020,onnx/convBigRELU__PGD.onnx,vnnlib/cifar10_spec_idx_2_eps_0.00784.vnnlib,unsat
cifar2020,onnx/convBigRELU__PGD.onnx,vnnlib/cifar10_spec_idx_3_eps_0.00784.vnnlib,unsat
cifar2020,onnx/convBigRELU__PGD.onnx,vnnlib/cifar10_spec_idx_4_eps_0.00784.vnnlib,unsat
cifar2020,onnx/convBigRELU__PGD.onnx,vnnlib/cifar10_spec_idx_5_eps_0.00784.vnnlib,unsat
cifar2020,onnx/convBigRELU__PGD.onnx,vnnlib/cifar10_spec_idx_9_eps_0.00784.vnnlib,sat
cifar2020,onnx/convBigRELU__PGD.onnx,vnnlib/cifar10_spec_idx_10_eps_0.00784.vnnlib,unsat
cifar2020,onnx/convBigRELU__PGD.onnx,vnnlib/cifar10_spec_idx_11_eps_0.00784.vnnlib,unsat
cifar2020,onnx/convBigRELU__PGD.onnx,vnnlib/cifar10_spec_idx_13_eps_0.00784.vnnlib,unsat
cifar2020,onnx/convBigRELU__PGD.onnx,vnnlib/cifar10_spec_idx_14_eps_0.00784.vnnlib,unsat
cifar2020,onnx/convBigRELU__PGD.onnx,vnnlib/cifar10_spec_idx_15_eps_0.00784.vnnlib,unsat
cifar2020,onnx/convBigRELU__PGD.onnx,vnnlib/cifar10_spec_idx_18_eps_0.00784.vnnlib,unsat
cifar2020,onnx/convBigRELU__PGD.onnx,vnnlib/cifar10_spec_idx_19_eps_0.00784.vnnlib,unsat
cifar2020,onnx/convBigRELU__PGD.onnx,vnnlib/cifar10_spec_idx_20_eps_0.00784.vnnlib,unsat
cifar2020,onnx/convBigRELU__PGD.onnx,vnnlib/cifar10_spec_idx_21_eps_0.00784.vnnlib,unsat
cifar2020,onnx/convBigRELU__PGD.onnx,vnnlib/cifar10_spec_idx_23_eps_0.00784.vnnlib,unsat
cifar2020,onnx/convBigRELU__PGD.onnx,vnnlib/cifar10_spec_idx_28_eps_0.00784.vnnlib,sat
cifar2020,onnx/convBigRELU__PGD.onnx,vnnlib/cifar10_spec_idx_29_eps_0.00784.vnnlib,unsat
cifar2020,onnx/convBigRELU__PGD.onnx,vnnlib/cifar10_spec_idx_30_eps_0.00784.vnnlib,unsat
cifar2020,onnx/convBigRELU__PGD.onnx,vnnlib/cifar10_spec_idx_32_eps_0.00784.vnnlib,sat
cifar2020,onnx/convBigRELU__PGD.onnx,vnnlib/cifar10_spec_idx_33_eps_0.00784.vnnlib,sat
cifar2020,onnx/convBigRELU__PGD.onnx,vnnlib/cifar10_spec_idx_34_eps_0.00784.vnnlib,unsat
cifar2020,onnx/convBigRELU__PGD.onnx,vnnlib/cifar10_spec_idx_37_eps_0.00784.vnnlib,unsat
cifar2020,onnx/convBigRELU__PGD.onnx,vnnlib/cifar10_spec_idx_38_eps_0.00784.vnnlib,unsat
cifar2020,onnx/convBigRELU__PGD.onnx,vnnlib/cifar10_spec_idx_39_eps_0.00784.vnnlib,unsat
cifar2020,onnx/convBigRELU__PGD.onnx,vnnlib/cifar10_spec_idx_40_eps_0.00784.vnnlib,sat
cifar2020,onnx/convBigRELU__PGD.onnx,vnnlib/cifar10_spec_idx_41_eps_0.00784.vnnlib,unsat
cifar2020,onnx/convBigRELU__PGD.onnx,vnnlib/cifar10_spec_idx_43_eps_0.00784.vnnlib,unsat
cifar2020,onnx/convBigRELU__PGD.onnx,vnnlib/cifar10_spec_idx_44_eps_0.00784.vnnlib,unsat
cifar2020,onnx/convBigRELU__PGD.onnx,vnnlib/cifar10_spec_idx_45_eps_0.00784.vnnlib,unsat
cifar2020,onnx/convBigRELU__PGD.onnx,vnnlib/cifar10_spec_idx_50_eps_0.00784.vnnlib,unsat
cifar2020,onnx/convBigRELU__PGD.onnx,vnnlib/cifar10_spec_idx_51_eps_0.00784.vnnlib,unsat
cifar2020,onnx/convBigRELU__PGD.onnx,vnnlib/cifar10_spec_idx_52_eps_0.00784.vnnlib,sat
cifar2020,onnx/convBigRELU__PGD.onnx,vnnlib/cifar10_spec_idx_54_eps_0.00784.vnnlib,unsat
cifar2020,onnx/convBigRELU__PGD.onnx,vnnlib/cifar10_spec_idx_55_eps_0.00784.vnnlib,unsat
cifar2020,onnx/convBigRELU__PGD.onnx,vnnlib/cifar10_spec_idx_60_eps_0.00784.vnnlib,unsat
cifar2020,onnx/convBigRELU__PGD.onnx,vnnlib/cifar10_spec_idx_61_eps_0.00784.vnnlib,sat
cifar2020,onnx/convBigRELU__PGD.onnx,vnnlib/cifar10_spec_idx_62_eps_0.00784.vnnlib,unsat
cifar2020,onnx/convBigRELU__PGD.onnx,vnnlib/cifar10_spec_idx_64_eps_0.00784.vnnlib,unsat
cifar2020,onnx/convBigRELU__PGD.onnx,vnnlib/cifar10_spec_idx_66_eps_0.00784.vnnlib,unsat
cifar2020,onnx/convBigRELU__PGD.onnx,vnnlib/cifar10_spec_idx_67_eps_0.00784.vnnlib,unsat
cifar2020,onnx/convBigRELU__PGD.onnx,vnnlib/cifar10_spec_idx_71_eps_0.00784.vnnlib,unsat
cifar2020,onnx/convBigRELU__PGD.onnx,vnnlib/cifar10_spec_idx_72_eps_0.00784.vnnlib,unsat
cifar2020,onnx/convBigRELU__PGD.onnx,vnnlib/cifar10_spec_idx_73_eps_0.00784.vnnlib,unsat
cifar2020,onnx/convBigRELU__PGD.onnx,vnnlib/cifar10_spec_idx_75_eps_0.00784.vnnlib,unsat
cifar2020,onnx/convBigRELU__PGD.onnx,vnnlib/cifar10_spec_idx_76_eps_0.00784.vnnlib,unsat
cifar2020,onnx/convBigRELU__PGD.onnx,vnnlib/cifar10_spec_idx_79_eps_0.00784.vnnlib,unsat
cifar2020,onnx/convBigRELU__PGD.onnx,vnnlib/cifar10_spec_idx_80_eps_0.00784.vnnlib,unsat
cifar2020,onnx/convBigRELU__PGD.onnx,vnnlib/cifar10_spec_idx_81_eps_0.00784.vnnlib,unsat
cifar_biasfield,onnx/cifar_bias_field_0.onnx,vnnlib/prop_0.vnnlib,unsat
cifar_biasfield,onnx/cifar_bias_field_1.onnx,vnnlib/prop_1.vnnlib,unsat
cifar_biasfield,onnx/cifar_bias_field_10.onnx,vnnlib/prop_10.vnnlib,unsat
cifar_biasfield,onnx/cifar_bias_field_11.onnx,vnnlib/prop_11.vnnlib,unsat
cifar_biasfield,onnx/cifar_bias_field_12.onnx,vnnlib/prop_12.vnnlib,unsat
cifar_biasfield,onnx/cifar_bias_field_13.onnx,vnnlib/prop_13.vnnlib,unsat
cifar_biasfield,onnx/cifar_bias_field_14.onnx,vnnlib/prop_14.vnnlib,unsat
cifar_biasfield,onnx/cifar_bias_field_15.onnx,vnnlib/prop_15.vnnlib,unsat
cifar_biasfield,onnx/cifar_bias_field_16.onnx,vnnlib/prop_16.vnnlib,unsat
cifar_biasfield,onnx/cifar_bias_field_17.onnx,vnnlib/prop_17.vnnlib,unsat
cifar_biasfield,onnx/cifar_bias_field_18.onnx,vnnlib/prop_18.vnnlib,unsat
cifar_biasfield,onnx/cifar_bias_field_2.onnx,vnnlib/prop_2.vnnlib,unsat
cifar_biasfield,onnx/cifar_bias_field_20.onnx,vnnlib/prop_20.vnnlib,unsat
cifar_biasfield,onnx/cifar_bias_field_21.onnx,vnnlib/prop_21.vnnlib,unsat
cifar_biasfield,onnx/cifar_bias_field_22.onnx,vnnlib/prop_22.vnnlib,unsat
cifar_biasfield,onnx/cifar_bias_field_24.onnx,vnnlib/prop_24.vnnlib,unsat
cifar_biasfield,onnx/cifar_bias_field_25.onnx,vnnlib/prop_25.vnnlib,unsat
cifar_biasfield,onnx/cifar_bias_field_26.onnx,vnnlib/prop_26.vnnlib,unsat
cifar_biasfield,onnx/cifar_bias_field_27.onnx,vnnlib/prop_27.vnnlib,unsat
cifar_biasfield,onnx/cifar_bias_field_28.onnx,vnnlib/prop_28.vnnlib,unsat
cifar_biasfield,onnx/cifar_bias_field_29.onnx,vnnlib/prop_29.vnnlib,unsat
cifar_biasfield,onnx/cifar_bias_field_3.onnx,vnnlib/prop_3.vnnlib,unsat
cifar_biasfield,onnx/cifar_bias_field_30.onnx,vnnlib/prop_30.vnnlib,unsat
cifar_biasfield,onnx/cifar_bias_field_31.onnx,vnnlib/prop_31.vnnlib,unsat
cifar_biasfield,onnx/cifar_bias_field_32.onnx,vnnlib/prop_32.vnnlib,unsat
cifar_biasfield,onnx/cifar_bias_field_33.onnx,vnnlib/prop_33.vnnlib,unsat
cifar_biasfield,onnx/cifar_bias_field_34.onnx,vnnlib/prop_34.vnnlib,unsat
cifar_biasfield,onnx/cifar_bias_field_35.onnx,vnnlib/prop_35.vnnlib,unsat
cifar_biasfield,onnx/cifar_bias_field_36.onnx,vnnlib/prop_36.vnnlib,unsat
cifar_biasfield,onnx/cifar_bias_field_37.onnx,vnnlib/prop_37.vnnlib,unsat
cifar_biasfield,onnx/cifar_bias_field_38.onnx,vnnlib/prop_38.vnnlib,unsat
cifar_biasfield,onnx/cifar_bias_field_39.onnx,vnnlib/prop_39.vnnlib,unsat
cifar_biasfield,onnx/cifar_bias_field_4.onnx,vnnlib/prop_4.vnnlib,unsat
cifar_biasfield,onnx/cifar_bias_field_40.onnx,vnnlib/prop_40.vnnlib,unsat
cifar_biasfield,onnx/cifar_bias_field_41.onnx,vnnlib/prop_41.vnnlib,unsat
cifar_biasfield,onnx/cifar_bias_field_42.onnx,vnnlib/prop_42.vnnlib,unsat
cifar_biasfield,onnx/cifar_bias_field_43.onnx,vnnlib/prop_43.vnnlib,unsat
cifar_biasfield,onnx/cifar_bias_field_44.onnx,vnnlib/prop_44.vnnlib,unsat
cifar_biasfield,onnx/cifar_bias_field_45.onnx,vnnlib/prop_45.vnnlib,unsat
cifar_biasfield,onnx/cifar_bias_field_46.onnx,vnnlib/prop_46.vnnlib,unsat
cifar_biasfield,onnx/cifar_bias_field_47.onnx,vnnlib/prop_47.vnnlib,unsat
cifar_biasfield,onnx/cifar_bias_field_48.onnx,vnnlib/prop_48.vnnlib,unsat
cifar_biasfield,onnx/cifar_bias_field_49.onnx,vnnlib/prop_49.vnnlib,unsat
cifar_biasfield,onnx/cifar_bias_field_5.onnx,vnnlib/prop_5.vnnlib,unsat
cifar_biasfield,onnx/cifar_bias_field_50.onnx,vnnlib/prop_50.vnnlib,unsat
cifar_biasfield,onnx/cifar_bias_field_51.onnx,vnnlib/prop_51.vnnlib,unsat
cifar_biasfield,onnx/cifar_bias_field_52.onnx,vnnlib/prop_52.vnnlib,unsat
cifar_biasfield,onnx/cifar_bias_field_53.onnx,vnnlib/prop_53.vnnlib,unsat
cifar_biasfield,onnx/cifar_bias_field_54.onnx,vnnlib/prop_54.vnnlib,unsat
cifar_biasfield,onnx/cifar_bias_field_55.onnx,vnnlib/prop_55.vnnlib,unsat
cifar_biasfield,onnx/cifar_bias_field_56.onnx,vnnlib/prop_56.vnnlib,unsat
cifar_biasfield,onnx/cifar_bias_field_57.onnx,vnnlib/prop_57.vnnlib,unsat
cifar_biasfield,onnx/cifar_bias_field_58.onnx,vnnlib/prop_58.vnnlib,unsat
cifar_biasfield,onnx/cifar_bias_field_59.onnx,vnnlib/prop_59.vnnlib,unsat
cifar_biasfield,onnx/cifar_bias_field_6.onnx,vnnlib/prop_6.vnnlib,unsat
cifar_biasfield,onnx/cifar_bias_field_60.onnx,vnnlib/prop_60.vnnlib,unsat
cifar_biasfield,onnx/cifar_bias_field_61.onnx,vnnlib/prop_61.vnnlib,unsat
cifar_biasfield,onnx/cifar_bias_field_62.onnx,vnnlib/prop_62.vnnlib,unsat
cifar_biasfield,onnx/cifar_bias_field_63.onnx,vnnlib/prop_63.vnnlib,unsat
cifar_biasfield,onnx/cifar_bias_field_64.onnx,vnnlib/prop_64.vnnlib,unsat
cifar_biasfield,onnx/cifar_bias_field_65.onnx,vnnlib/prop_65.vnnlib,unsat
cifar_biasfield,onnx/cifar_bias_field_66.onnx,vnnlib/prop_66.vnnlib,unsat
cifar_biasfield,onnx/cifar_bias_field_67.onnx,vnnlib/prop_67.vnnlib,unsat
